"doc_index","content_type","style_name","text","level","num_id"
48,"paragraph",NA,"",NA,NA
49,"paragraph",NA,"00:24-00:25",NA,NA
50,"paragraph",NA,"that people will be able to see.",NA,NA
51,"paragraph",NA,"",NA,NA
52,"paragraph",NA,"",NA,NA
53,"paragraph",NA,"00:26-00:27",NA,NA
54,"paragraph",NA,"So members just can be wary of that",NA,NA
55,"paragraph",NA,"",NA,NA
56,"paragraph",NA,"",NA,NA
57,"paragraph",NA,"00:27-00:29",NA,NA
58,"paragraph",NA,"when asking questions as simple as possible.",NA,NA
59,"paragraph",NA,"",NA,NA
60,"paragraph",NA,"",NA,NA
61,"paragraph",NA,"00:29-00:34",NA,NA
62,"paragraph",NA,"We'll have a break at 12.30 for half an hour, but otherwise we'll be running straight through.",NA,NA
63,"paragraph",NA,"",NA,NA
64,"paragraph",NA,"",NA,NA
65,"paragraph",NA,"00:34-00:35",NA,NA
66,"paragraph",NA,"So thank you all for being here.",NA,NA
67,"paragraph",NA,"",NA,NA
68,"paragraph",NA,"",NA,NA
69,"paragraph",NA,"00:36-00:42",NA,NA
70,"paragraph",NA,"We begin today's session by welcoming Minister in charge of the Bill, Honourable David Seymour, to make a presentation.",NA,NA
71,"paragraph",NA,"",NA,NA
72,"paragraph",NA,"",NA,NA
73,"paragraph",NA,"00:42-00:45",NA,NA
74,"paragraph",NA,"So Minister, welcome. You've got 15 minutes, so please begin your presentation.",NA,NA
75,"paragraph",NA,"",NA,NA
76,"paragraph",NA,"",NA,NA
77,"paragraph",NA,"00:46-00:48",NA,NA
78,"paragraph",NA,"Okay, well first of all, thank you to the members of the committee.",NA,NA
79,"paragraph",NA,"",NA,NA
80,"paragraph",NA,"",NA,NA
81,"paragraph",NA,"00:48-00:53",NA,NA
82,"paragraph",NA,"I know that you're going to have an extensive discussion with 80 hours of hearings.",NA,NA
83,"paragraph",NA,"",NA,NA
84,"paragraph",NA,"",NA,NA
85,"paragraph",NA,"00:53-00:58",NA,NA
86,"paragraph",NA,"And I believe it is a great day for New Zealand that our treaty is being debated.",NA,NA
87,"paragraph",NA,"",NA,NA
88,"paragraph",NA,"",NA,NA
89,"paragraph",NA,"00:59-01:08",NA,NA
90,"paragraph",NA,"In a free society, people should be able to have their say about the most important issues of the day and all of the laws under which they live.",NA,NA
91,"paragraph",NA,"",NA,NA
92,"paragraph",NA,"",NA,NA
93,"paragraph",NA,"01:09-01:19",NA,NA
94,"paragraph",NA,"Perhaps one way that I can be helpful through submitting on this bill is to explain a little bit about the why,",NA,NA
95,"paragraph",NA,"",NA,NA
96,"paragraph",NA,"",NA,NA
97,"paragraph",NA,"01:19-01:23",NA,NA
98,"paragraph",NA,"the motivation for bringing it here and what I hope that it will achieve.",NA,NA
99,"paragraph",NA,"",NA,NA
100,"paragraph",NA,"",NA,NA
101,"paragraph",NA,"01:23-01:28",NA,NA
102,"paragraph",NA,"And I want to start that by quoting a passage from Hansart,",NA,NA
103,"paragraph",NA,"",NA,NA
104,"paragraph",NA,"",NA,NA
105,"paragraph",NA,"01:29-01:32",NA,NA
106,"paragraph",NA,"which says that we meet today at the pinnacle of several centuries of progress.",NA,NA
107,"paragraph",NA,"",NA,NA
108,"paragraph",NA,"",NA,NA
109,"paragraph",NA,"01:33-01:37",NA,NA
110,"paragraph",NA,"We have moved towards the light of liberty by removing distinctions in law",NA,NA
111,"paragraph",NA,"",NA,NA
112,"paragraph",NA,"",NA,NA
113,"paragraph",NA,"01:37-01:41",NA,NA
114,"paragraph",NA,"that once treated people differently, depending on their religious conviction,",NA,NA
115,"paragraph",NA,"",NA,NA
116,"paragraph",NA,"",NA,NA
117,"paragraph",NA,"01:41-01:43",NA,NA
118,"paragraph",NA,"their gender or their race.",NA,NA
119,"paragraph",NA,"",NA,NA
120,"paragraph",NA,"",NA,NA
121,"paragraph",NA,"01:43-01:48",NA,NA
122,"paragraph",NA,"And most recently, this parliament has decided to remove gender from the marriage laws.",NA,NA
123,"paragraph",NA,"",NA,NA
124,"paragraph",NA,"",NA,NA
125,"paragraph",NA,"01:48-02:04",NA,NA
126,"paragraph",NA,"Many countries have never achieved that, but it is extraordinary that as if engaged in some form of historical shuttle run, it was we who were first to touch the cone that are now rushing back to create new distinctions in law.",NA,NA
127,"paragraph",NA,"",NA,NA
128,"paragraph",NA,"",NA,NA
129,"paragraph",NA,"02:04-02:17",NA,NA
130,"paragraph",NA,"I refer to those who claim that the only way to achieve material equality between the Māori side and the British side of my ancestry is to create more legal inequality.",NA,NA
131,"paragraph",NA,"",NA,NA
132,"paragraph",NA,"",NA,NA
133,"paragraph",NA,"02:18-02:24",NA,NA
134,"paragraph",NA,"No doubt they have noble intentions that public policy should be measured only by results.",NA,NA
135,"paragraph",NA,"",NA,NA
136,"paragraph",NA,"",NA,NA
137,"paragraph",NA,"02:25-02:32",NA,NA
138,"paragraph",NA,"That was me just over 10 years ago, 31 years old, in my maiden statement to Parliament.",NA,NA
139,"paragraph",NA,"",NA,NA
140,"paragraph",NA,"",NA,NA
141,"paragraph",NA,"02:32-02:45",NA,NA
142,"paragraph",NA,"Now, you might think that's a little bit indulgent, but I want to be clear that my beliefs behind this bill and my belief in freedom under the law is a long-held and sincere belief.",NA,NA
143,"paragraph",NA,"",NA,NA
144,"paragraph",NA,"",NA,NA
145,"paragraph",NA,"02:46-03:01",NA,NA
146,"paragraph",NA,"What we've witnessed in recent decades, as the courts in the Waitangi Tribunal have sought to define the principles of the treaty, is incompatible with freedom under the law, with a free society where each of us have equal rights.",NA,NA
147,"paragraph",NA,"",NA,NA
148,"paragraph",NA,"",NA,NA
149,"paragraph",NA,"03:01-03:13",NA,NA
150,"paragraph",NA,"Since the Court of Appeal said that the treaty created a, quote, partnership between races or a relationship akin to a partnership, that notion has become commonplace.",NA,NA
151,"paragraph",NA,"",NA,NA
152,"paragraph",NA,"",NA,NA
153,"paragraph",NA,"03:14-03:20",NA,NA
154,"paragraph",NA,"Dame Jacinda Ardern, as Prime Minister, just five years ago, quoted this idea of a partnership between races.",NA,NA
155,"paragraph",NA,"",NA,NA
156,"paragraph",NA,"",NA,NA
157,"paragraph",NA,"03:20-03:26",NA,NA
158,"paragraph",NA,"At Waitangi, members of our current parliament believe that this country would be better off as a, quote,",NA,NA
159,"paragraph",NA,"",NA,NA
160,"paragraph",NA,"",NA,NA
161,"paragraph",NA,"03:26-03:33",NA,NA
162,"paragraph",NA,"Tiriti-centric Aotearoa, where people are divided into tangata whenua, land people, and tangata tiriti, treaty people.",NA,NA
163,"paragraph",NA,"",NA,NA
164,"paragraph",NA,"",NA,NA
165,"paragraph",NA,"03:34-03:44",NA,NA
166,"paragraph",NA,"Just this summer, we saw a concert where the ticket prices were differentiated with different prices for tangata whenua and tangata tiriti, with different amounts to pay.",NA,NA
167,"paragraph",NA,"",NA,NA
168,"paragraph",NA,"",NA,NA
169,"paragraph",NA,"03:44-03:55",NA,NA
170,"paragraph",NA,"We see consultation on resource management consents, the structure of local government and some central government departments taking this divisive approach.",NA,NA
171,"paragraph",NA,"",NA,NA
172,"paragraph",NA,"",NA,NA
173,"paragraph",NA,"03:56-04:00",NA,NA
174,"paragraph",NA,"Dividing people into racial groups is the definition of racism.",NA,NA
175,"paragraph",NA,"",NA,NA
176,"paragraph",NA,"",NA,NA
177,"paragraph",NA,"04:01-04:06",NA,NA
178,"paragraph",NA,"Just as sexism is to judge a person first by their sex and then by their other characteristics.",NA,NA
179,"paragraph",NA,"",NA,NA
180,"paragraph",NA,"",NA,NA
181,"paragraph",NA,"04:06-04:12",NA,NA
182,"paragraph",NA,"Their belief that roles in society should be preserved with race as the primary qualifier",NA,NA
183,"paragraph",NA,"",NA,NA
184,"paragraph",NA,"",NA,NA
185,"paragraph",NA,"04:13-04:18",NA,NA
186,"paragraph",NA,"is the definition of racism, something we abhor, should give nothing to, and should all do",NA,NA
187,"paragraph",NA,"",NA,NA
188,"paragraph",NA,"",NA,NA
189,"paragraph",NA,"04:19-04:25",NA,NA
190,"paragraph",NA,"everything in our power to expunge from our society. When you see people as a member of a",NA,NA
191,"paragraph",NA,"",NA,NA
192,"paragraph",NA,"",NA,NA
193,"paragraph",NA,"04:25-04:32",NA,NA
194,"paragraph",NA,"group first and an individual second, you miss interesting things about them. You also open the",NA,NA
195,"paragraph",NA,"",NA,NA
196,"paragraph",NA,"",NA,NA
197,"paragraph",NA,"04:32-04:39",NA,NA
198,"paragraph",NA,"door to dehumanizing oppression. It reminds me of Plato's chilling republic, where people are",NA,NA
199,"paragraph",NA,"",NA,NA
200,"paragraph",NA,"",NA,NA
201,"paragraph",NA,"04:40-04:46",NA,NA
202,"paragraph",NA,"divided into classes, forced to act in certain ways in order to preserve the totalitarian state.",NA,NA
203,"paragraph",NA,"",NA,NA
204,"paragraph",NA,"",NA,NA
205,"paragraph",NA,"04:47-04:53",NA,NA
206,"paragraph",NA,"Now, we're certainly nowhere near that, but it reminds us of the direction in which you travel",NA,NA
207,"paragraph",NA,"",NA,NA
208,"paragraph",NA,"",NA,NA
209,"paragraph",NA,"04:54-04:59",NA,NA
210,"paragraph",NA,"once you go down this partnership between races conception of our founding document.",NA,NA
211,"paragraph",NA,"",NA,NA
212,"paragraph",NA,"",NA,NA
213,"paragraph",NA,"05:00-05:10",NA,NA
214,"paragraph",NA,"Now, I have no doubt that you will be told that freedom and equality under the law are not actually that useful because they do not guarantee material quality.",NA,NA
215,"paragraph",NA,"",NA,NA
216,"paragraph",NA,"",NA,NA
217,"paragraph",NA,"05:10-05:16",NA,NA
218,"paragraph",NA,"They don't guarantee that everybody will have equal wealth or perhaps in some cases even sufficient wealth.",NA,NA
219,"paragraph",NA,"",NA,NA
220,"paragraph",NA,"",NA,NA
221,"paragraph",NA,"05:17-05:24",NA,NA
222,"paragraph",NA,"Two points about that. First of all, no, freedom under the law doesn't guarantee wealth, doesn't guarantee material equality.",NA,NA
223,"paragraph",NA,"",NA,NA
224,"paragraph",NA,"",NA,NA
225,"paragraph",NA,"05:25-05:32",NA,NA
226,"paragraph",NA,"But what it does just so happen to do across a range of times, cultures and places is create",NA,NA
227,"paragraph",NA,"",NA,NA
228,"paragraph",NA,"",NA,NA
229,"paragraph",NA,"05:33-05:39",NA,NA
230,"paragraph",NA,"the best opportunities in human history for disadvantaged people to achieve prosperity.",NA,NA
231,"paragraph",NA,"",NA,NA
232,"paragraph",NA,"",NA,NA
233,"paragraph",NA,"05:40-05:44",NA,NA
234,"paragraph",NA,"And that is there is so much data on that now across many countries, many decades, many",NA,NA
235,"paragraph",NA,"",NA,NA
236,"paragraph",NA,"",NA,NA
237,"paragraph",NA,"05:44-05:49",NA,NA
238,"paragraph",NA,"centuries, that people who deny that really aren't being taken, aren't taking the conversation",NA,NA
239,"paragraph",NA,"",NA,NA
240,"paragraph",NA,"",NA,NA
241,"paragraph",NA,"05:50-05:59",NA,NA
242,"paragraph",NA,"The second point is that even if the treaty as a partnership is put forward as a way of helping to achieve material equality,",NA,NA
243,"paragraph",NA,"",NA,NA
244,"paragraph",NA,"",NA,NA
245,"paragraph",NA,"06:00-06:03",NA,NA
246,"paragraph",NA,"you'll find that it is not necessary, nor is it sufficient.",NA,NA
247,"paragraph",NA,"",NA,NA
248,"paragraph",NA,"",NA,NA
249,"paragraph",NA,"06:04-06:12",NA,NA
250,"paragraph",NA,"It's not necessary because it is possible to help disadvantaged people without dividing a country into two groups based on ancestry.",NA,NA
251,"paragraph",NA,"",NA,NA
252,"paragraph",NA,"",NA,NA
253,"paragraph",NA,"06:12-06:22",NA,NA
254,"paragraph",NA,"Practically every country in the world, to some extent or other, is in the business of trying to help people through government intervention that need help.",NA,NA
255,"paragraph",NA,"",NA,NA
256,"paragraph",NA,"",NA,NA
257,"paragraph",NA,"06:22-06:33",NA,NA
258,"paragraph",NA,"But second of all, it's not sufficient to create material equality within New Zealand, because many people who are not Maori are nonetheless disadvantaged.",NA,NA
259,"paragraph",NA,"",NA,NA
260,"paragraph",NA,"",NA,NA
261,"paragraph",NA,"06:33-06:38",NA,NA
262,"paragraph",NA,"And I could come up with many examples, but none more poignant than the fact that today",NA,NA
263,"paragraph",NA,"",NA,NA
264,"paragraph",NA,"",NA,NA
265,"paragraph",NA,"06:39-06:43",NA,NA
266,"paragraph",NA,"is the 80th anniversary of the liberation of Auschwitz-Birkenau.",NA,NA
267,"paragraph",NA,"",NA,NA
268,"paragraph",NA,"",NA,NA
269,"paragraph",NA,"06:44-06:52",NA,NA
270,"paragraph",NA,"And just yesterday, I joined with the New Zealand Holocaust Centre to commemorate that anniversary",NA,NA
271,"paragraph",NA,"",NA,NA
272,"paragraph",NA,"",NA,NA
273,"paragraph",NA,"06:52-06:57",NA,NA
274,"paragraph",NA,"with several people who were survivors who sought refuge in this country.",NA,NA
275,"paragraph",NA,"",NA,NA
276,"paragraph",NA,"",NA,NA
277,"paragraph",NA,"06:58-07:01",NA,NA
278,"paragraph",NA,"Now, that is obviously an extreme example,",NA,NA
279,"paragraph",NA,"",NA,NA
280,"paragraph",NA,"",NA,NA
281,"paragraph",NA,"07:01-07:04",NA,NA
282,"paragraph",NA,"but it makes the point that many people, for many reasons,",NA,NA
283,"paragraph",NA,"",NA,NA
284,"paragraph",NA,"",NA,NA
285,"paragraph",NA,"07:04-07:07",NA,NA
286,"paragraph",NA,"find themselves in New Zealand's disadvantage.",NA,NA
287,"paragraph",NA,"",NA,NA
288,"paragraph",NA,"",NA,NA
289,"paragraph",NA,"07:08-07:10",NA,NA
290,"paragraph",NA,"Not all of them are Maori, in fact, far from it,",NA,NA
291,"paragraph",NA,"",NA,NA
292,"paragraph",NA,"",NA,NA
293,"paragraph",NA,"07:11-07:15",NA,NA
294,"paragraph",NA,"and not all people who are doing well are not Maori.",NA,NA
295,"paragraph",NA,"",NA,NA
296,"paragraph",NA,"",NA,NA
297,"paragraph",NA,"07:16-07:18",NA,NA
298,"paragraph",NA,"Using race or your ancestral background",NA,NA
299,"paragraph",NA,"",NA,NA
300,"paragraph",NA,"",NA,NA
301,"paragraph",NA,"07:19-07:23",NA,NA
302,"paragraph",NA,"as a way of deciding who needs help is simply ineffective.",NA,NA
303,"paragraph",NA,"",NA,NA
304,"paragraph",NA,"",NA,NA
305,"paragraph",NA,"07:24-07:28",NA,NA
306,"paragraph",NA,"You may also be told that this parliament does not have a right",NA,NA
307,"paragraph",NA,"",NA,NA
308,"paragraph",NA,"",NA,NA
309,"paragraph",NA,"07:28-07:32",NA,NA
310,"paragraph",NA,"to make a law on this bill, sorry, make a law about the treaty principles.",NA,NA
311,"paragraph",NA,"",NA,NA
312,"paragraph",NA,"",NA,NA
313,"paragraph",NA,"07:33-07:35",NA,NA
314,"paragraph",NA,"That really goes to the heart of the debate.",NA,NA
315,"paragraph",NA,"",NA,NA
316,"paragraph",NA,"",NA,NA
317,"paragraph",NA,"07:36-07:42",NA,NA
318,"paragraph",NA,"If you believe that New Zealand is some sort of constitutional oddity",NA,NA
319,"paragraph",NA,"",NA,NA
320,"paragraph",NA,"",NA,NA
321,"paragraph",NA,"07:42-07:46",NA,NA
322,"paragraph",NA,"with two partners and different people having different political rights",NA,NA
323,"paragraph",NA,"",NA,NA
324,"paragraph",NA,"",NA,NA
325,"paragraph",NA,"07:46-07:50",NA,NA
326,"paragraph",NA,"based on their ancestry, then of course you won't want Parliament",NA,NA
327,"paragraph",NA,"",NA,NA
328,"paragraph",NA,"",NA,NA
329,"paragraph",NA,"07:50-07:54",NA,NA
330,"paragraph",NA,"to make a ruling about what the Treaty of Waitangi means to us",NA,NA
331,"paragraph",NA,"",NA,NA
332,"paragraph",NA,"",NA,NA
333,"paragraph",NA,"07:54-07:55",NA,NA
334,"paragraph",NA,"in the current day.",NA,NA
335,"paragraph",NA,"",NA,NA
336,"paragraph",NA,"",NA,NA
337,"paragraph",NA,"07:56-08:00",NA,NA
338,"paragraph",NA,"If, on the other hand, you might be tempted to ask those people,",NA,NA
339,"paragraph",NA,"",NA,NA
340,"paragraph",NA,"",NA,NA
341,"paragraph",NA,"08:01-08:03",NA,NA
342,"paragraph",NA,"first of all, what are they doing here?",NA,NA
343,"paragraph",NA,"",NA,NA
344,"paragraph",NA,"",NA,NA
345,"paragraph",NA,"08:04-08:08",NA,NA
346,"paragraph",NA,"Second of all, how exactly would they like this society to work?",NA,NA
347,"paragraph",NA,"",NA,NA
348,"paragraph",NA,"",NA,NA
349,"paragraph",NA,"08:08-08:11",NA,NA
350,"paragraph",NA,"And where are the examples of societies that divide people by ancestry",NA,NA
351,"paragraph",NA,"",NA,NA
352,"paragraph",NA,"",NA,NA
353,"paragraph",NA,"08:12-08:13",NA,NA
354,"paragraph",NA,"that are more successful for it?",NA,NA
355,"paragraph",NA,"",NA,NA
356,"paragraph",NA,"",NA,NA
357,"paragraph",NA,"08:14-08:16",NA,NA
358,"paragraph",NA,"And finally, you might want to ask them,",NA,NA
359,"paragraph",NA,"",NA,NA
360,"paragraph",NA,"",NA,NA
361,"paragraph",NA,"08:17-08:19",NA,NA
362,"paragraph",NA,"have they met the billions of people around the world,",NA,NA
363,"paragraph",NA,"",NA,NA
364,"paragraph",NA,"",NA,NA
365,"paragraph",NA,"08:20-08:23",NA,NA
366,"paragraph",NA,"many of whom are fighting right now, very literally,",NA,NA
367,"paragraph",NA,"",NA,NA
368,"paragraph",NA,"",NA,NA
369,"paragraph",NA,"08:24-08:26",NA,NA
370,"paragraph",NA,"for parliamentary democracy,",NA,NA
371,"paragraph",NA,"",NA,NA
372,"paragraph",NA,"",NA,NA
373,"paragraph",NA,"08:27-08:30",NA,NA
374,"paragraph",NA,"those people would very much like to have a parliament like this",NA,NA
375,"paragraph",NA,"",NA,NA
376,"paragraph",NA,"",NA,NA
377,"paragraph",NA,"08:30-08:34",NA,NA
378,"paragraph",NA,"that is the arbiter of what our laws mean in the modern age.",NA,NA
379,"paragraph",NA,"",NA,NA
380,"paragraph",NA,"",NA,NA
381,"paragraph",NA,"08:35-08:40",NA,NA
382,"paragraph",NA,"And finally, this bill, some will say, may not pass this time.",NA,NA
383,"paragraph",NA,"",NA,NA
384,"paragraph",NA,"",NA,NA
385,"paragraph",NA,"08:41-08:41",NA,NA
386,"paragraph",NA,"We shall see.",NA,NA
387,"paragraph",NA,"",NA,NA
388,"paragraph",NA,"",NA,NA
389,"paragraph",NA,"08:42-08:47",NA,NA
390,"paragraph",NA,"But I can tell you that you are part of something important and inevitable.",NA,NA
391,"paragraph",NA,"",NA,NA
392,"paragraph",NA,"",NA,NA
393,"paragraph",NA,"08:48-08:51",NA,NA
394,"paragraph",NA,"In the past, in parliaments, including this one,",NA,NA
395,"paragraph",NA,"",NA,NA
396,"paragraph",NA,"",NA,NA
397,"paragraph",NA,"08:51-08:57",NA,NA
398,"paragraph",NA,"We've seen, for example, the end of slavery first introduced in, I think, 1792, eventually",NA,NA
399,"paragraph",NA,"",NA,NA
400,"paragraph",NA,"",NA,NA
401,"paragraph",NA,"08:58-09:00",NA,NA
402,"paragraph",NA,"passed in the early 1800s.",NA,NA
403,"paragraph",NA,"",NA,NA
404,"paragraph",NA,"",NA,NA
405,"paragraph",NA,"09:00-09:06",NA,NA
406,"paragraph",NA,"We've seen homosexual law reform first introduced to this parliament in about 1973, passed in",NA,NA
407,"paragraph",NA,"",NA,NA
408,"paragraph",NA,"",NA,NA
409,"paragraph",NA,"09:06-09:06",NA,NA
410,"paragraph",NA,"1986.",NA,NA
411,"paragraph",NA,"",NA,NA
412,"paragraph",NA,"",NA,NA
413,"paragraph",NA,"09:07-09:12",NA,NA
414,"paragraph",NA,"We've seen end of life choice first introduced in 1995, passed in 2019.",NA,NA
415,"paragraph",NA,"",NA,NA
416,"paragraph",NA,"",NA,NA
417,"paragraph",NA,"09:13-09:20",NA,NA
418,"paragraph",NA,"Once you have an idea that relates to emancipating people and freeing them from systems that oppress",NA,NA
419,"paragraph",NA,"",NA,NA
420,"paragraph",NA,"",NA,NA
421,"paragraph",NA,"09:20-09:25",NA,NA
422,"paragraph",NA,"them by giving some privilege to one group at the expense of another, which the partnership",NA,NA
423,"paragraph",NA,"",NA,NA
424,"paragraph",NA,"",NA,NA
425,"paragraph",NA,"09:25-09:32",NA,NA
426,"paragraph",NA,"principle most certainly does, then eventually the tide for human freedom, the tide that people",NA,NA
427,"paragraph",NA,"",NA,NA
428,"paragraph",NA,"",NA,NA
429,"paragraph",NA,"09:32-09:37",NA,NA
430,"paragraph",NA,"will want to join because they see that each of us are born with time on earth to make the most",NA,NA
431,"paragraph",NA,"",NA,NA
432,"paragraph",NA,"",NA,NA
433,"paragraph",NA,"09:38-09:43",NA,NA
434,"paragraph",NA,"of our talents so we can be as happy and flourish as much as possible in that time that is ours and",NA,NA
435,"paragraph",NA,"",NA,NA
436,"paragraph",NA,"",NA,NA
437,"paragraph",NA,"09:43-09:49",NA,NA
438,"paragraph",NA,"ours alone. That idea eventually will succeed and the work that you do over the next 80 hours of",NA,NA
439,"paragraph",NA,"",NA,NA
440,"paragraph",NA,"",NA,NA
441,"paragraph",NA,"09:49-09:55",NA,NA
442,"paragraph",NA,"hearings and the next five months of deliberating, I believe, will make a very important contribution",NA,NA
443,"paragraph",NA,"",NA,NA
444,"paragraph",NA,"",NA,NA
445,"paragraph",NA,"09:56-10:02",NA,NA
446,"paragraph",NA,"to that movement. So I hope that you will enter into it in good spirit and do it well. And also",NA,NA
447,"paragraph",NA,"",NA,NA
448,"paragraph",NA,"",NA,NA
449,"paragraph",NA,"10:02-10:07",NA,NA
450,"paragraph",NA,"having sat on one or two committees in my time, I have tried not to make the mistake of talking for",NA,NA
451,"paragraph",NA,"",NA,NA
452,"paragraph",NA,"",NA,NA
453,"paragraph",NA,"10:08-10:12",NA,NA
454,"paragraph",NA,"too much of the allocated time so that there can be questions. Thank you, Minister. We do have time",NA,NA
455,"paragraph",NA,"",NA,NA
456,"paragraph",NA,"",NA,NA
457,"paragraph",NA,"10:12-10:17",NA,NA
458,"paragraph",NA,"for questions first from Ginny Anderson and then Debbie Ngārewa-Paka. Tēnā koe, David.",NA,NA
459,"paragraph",NA,"",NA,NA
460,"paragraph",NA,"",NA,NA
461,"paragraph",NA,"10:48-10:56",NA,NA
462,"paragraph",NA,"The English version was a little bit more specific in its language, talking about lands and villages and fisheries and so on.",NA,NA
463,"paragraph",NA,"",NA,NA
464,"paragraph",NA,"",NA,NA
465,"paragraph",NA,"10:57-11:06",NA,NA
466,"paragraph",NA,"I always rely on Te Teriti and specifically on Professor Kawaru's translation of it into modern English in 1987.",NA,NA
467,"paragraph",NA,"",NA,NA
468,"paragraph",NA,"",NA,NA
469,"paragraph",NA,"11:07-11:12",NA,NA
470,"paragraph",NA,"The definition of taonga obviously has been something that's been debated over the years,",NA,NA
471,"paragraph",NA,"",NA,NA
472,"paragraph",NA,"",NA,NA
473,"paragraph",NA,"11:12-11:18",NA,NA
474,"paragraph",NA,"should it, for example, include radio spectrum as a taonga, even though that was not a technology,",NA,NA
475,"paragraph",NA,"",NA,NA
476,"paragraph",NA,"",NA,NA
477,"paragraph",NA,"11:18-11:20",NA,NA
478,"paragraph",NA,"that anybody was using in 1840.",NA,NA
479,"paragraph",NA,"",NA,NA
480,"paragraph",NA,"",NA,NA
481,"paragraph",NA,"11:21-11:24",NA,NA
482,"paragraph",NA,"What this bill does, however, is make it clear",NA,NA
483,"paragraph",NA,"",NA,NA
484,"paragraph",NA,"",NA,NA
485,"paragraph",NA,"11:25-11:28",NA,NA
486,"paragraph",NA,"that we are committed to continuing to honouring the rights",NA,NA
487,"paragraph",NA,"",NA,NA
488,"paragraph",NA,"",NA,NA
489,"paragraph",NA,"11:28-11:31",NA,NA
490,"paragraph",NA,"that hapu and iwi Māori had in 1840.",NA,NA
491,"paragraph",NA,"",NA,NA
492,"paragraph",NA,"",NA,NA
493,"paragraph",NA,"11:32-11:35",NA,NA
494,"paragraph",NA,"What we'd like to do is ensure that that happens",NA,NA
495,"paragraph",NA,"",NA,NA
496,"paragraph",NA,"",NA,NA
497,"paragraph",NA,"11:36-11:39",NA,NA
498,"paragraph",NA,"within a democratic framework where each New Zealander",NA,NA
499,"paragraph",NA,"",NA,NA
500,"paragraph",NA,"",NA,NA
501,"paragraph",NA,"11:39-11:43",NA,NA
502,"paragraph",NA,"has the same rights to make claims to their property,",NA,NA
503,"paragraph",NA,"",NA,NA
504,"paragraph",NA,"",NA,NA
505,"paragraph",NA,"11:44-11:46",NA,NA
506,"paragraph",NA,"to their language, to their culture.",NA,NA
507,"paragraph",NA,"",NA,NA
508,"paragraph",NA,"",NA,NA
509,"paragraph",NA,"11:47-11:49",NA,NA
510,"paragraph",NA,"And so we're committed to protecting Maori rights,",NA,NA
511,"paragraph",NA,"",NA,NA
512,"paragraph",NA,"",NA,NA
513,"paragraph",NA,"11:49-11:52",NA,NA
514,"paragraph",NA,"but within a framework of equality before the law for all.",NA,NA
515,"paragraph",NA,"",NA,NA
516,"paragraph",NA,"",NA,NA
517,"paragraph",NA,"11:54-11:54",NA,NA
518,"paragraph",NA,"Thank you, Minister.",NA,NA
519,"paragraph",NA,"",NA,NA
520,"paragraph",NA,"",NA,NA
521,"paragraph",NA,"11:54-11:55",NA,NA
522,"paragraph",NA,"I'll go to other members.",NA,NA
523,"paragraph",NA,"",NA,NA
524,"paragraph",NA,"",NA,NA
525,"paragraph",NA,"11:55-11:57",NA,NA
